"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"127",40.22,40.3906948881789,27,41,41,41,41
"128",38.41,40.3204073482428,22,41,41,41,41
"129",40.7,40.3420926517572,22,41,41,41,41
"130",40.15,40.3099440894569,22,41,41,41,41
"131",40.7,40.2799920127796,22,41,41,41,41
"132",40.7,40.3089057507987,22,41,41,41,41
"133",40.46,40.3916932907348,27,41,41,41,41
"134",40.66,40.3528354632588,27,41,41,41,41
"135",40.66,40.3799121405751,27,41,41,41,41
"136",40.66,40.3990015974441,27,41,41,41,41
"137",40.62,40.4053363157054,27,41,41,41,41
"138",39.29,40.4327368589231,27,41,41,41,41
"139",40.53,40.389696485623,27,41,41,41,41
"140",40.58,40.2516775842786,22,41,41,41,41
"141",40.53,40.3059504792332,27,41,41,41,41
"142",40.7,40.3015575079872,22,41,41,41,41
"143",40.58,40.3447284345048,27,41,41,41,41
"144",40.7,40.2842651757189,22,41,41,41,41
"145",38.6,40.2977635782748,22,41,41,41,41
"146",40.7,40.2476837060703,22,41,41,41,41
"147",40.7,40.2776757188498,22,41,41,41,41
"148",38.86,40.3194089456869,22,41,41,41,41
"149",40.62,40.2964131650423,22,41,41,41,41
"150",40.7,40.2869068541301,22,41,41,41,41
"151",40.41,40.2500798722045,22,41,41,41,41
"152",40.48,40.2705445247893,22,41,41,41,41
"153",40.66,40.2721824937078,22,41,41,41,41
"154",40.45,40.2572284345048,22,41,41,41,41
"155",40.37,40.2422911008148,22,41,41,41,41
"156",40.48,40.2558316024924,22,41,41,41,41
"157",40.7,40.2416932907348,22,41,41,41,41
"158",40.62,40.165002396549,22,41,41,41,41
"159",40.28,40.2357005911487,22,41,41,41,41
"160",40.62,40.2503594823454,22,41,41,41,41
"161",40.54,40.1616472279917,22,41,41,41,41
"162",40.58,40.228714057508,22,41,41,41,41
"163",40.66,40.2129392971246,22,41,41,41,41
"164",40.62,40.1027555910543,22,41,41,41,41
"165",40.7,40.1744408945687,22,41,41,41,41
"166",40.58,40.168637162486,22,41,41,41,41
"167",40.58,40.1689696485623,22,41,41,41,41
"168",40.38,40.0806709265176,22,41,41,41,41
"169",40.49,40.0498402555911,12,41,41,41,41
"170",40.7,40.0643370607029,12,41,41,41,41
"171",40.23,40.0801246205464,22,41,41,41,41
"172",39.75,40.0311151941205,12,41,41,41,41
"173",38.72,40.0629892954146,22,41,41,41,41
"174",39.22,40.0546325878594,12,41,41,41,41
"175",35.16,40.0275159744409,12,41,41,41,41
"176",38.73,40.0052715654952,12,41,41,41,41
"177",38.5,39.3208067092652,12,41,41,41,41
"178",40.58,39.8513178913738,12,41,41,41,41
"179",40.7,39.9208865814696,12,41,41,41,41
"180",36.77,40.0241214057508,22,41,41,41,41
"181",40.53,40.114696485623,22,41,41,41,41
"182",40.61,40.0979233226837,22,41,41,41,41
"183",39.28,40.0525159744409,12,41,41,41,41
"184",28.38,40.1003756093663,22,41,41,41,41
"185",40.57,40.0922855658983,22,41,41,41,41
"186",40.62,39.9949680511182,12,41,41,41,41
"187",40.66,40.0060702875399,12,41,41,41,41
"188",40.61,40.0517172523962,12,41,41,41,41
"189",40.08,40.0552115376933,12,41,41,41,41
"190",40.7,40.0423722044728,12,41,41,41,41
"191",39.91,39.9457268370607,12,41,41,41,41
"192",40.57,39.9199952069021,12,41,41,41,41
"193",40.5,39.969923310433,12,41,41,41,41
"194",40.58,40.0791260584758,22,41,41,41,41
"195",40.53,40.0043130990415,12,41,41,41,41
"196",39.5,39.8676182479709,12,41,41,41,41
"197",40.54,39.879892954146,12,41,41,41,41
"198",40.54,39.9133785942492,12,41,41,41,41
"199",40.7,39.8943290734824,12,41,41,41,41
"200",40.41,39.8873621984343,12,41,41,41,41
"201",40.48,31.3766129998801,2,32,32,32,32
"202",40.53,31.6526706883465,12,32,32,32,32
"203",39.92,35.9281834158811,27,37,37,37,37
"204",40.66,36.3919156414763,22,37,37,37,37
"205",40.66,36.588432656974,27,37,37,37,37
"206",40.66,40.1668130990415,27,41,41,41,41
"207",40.7,40.4563099041534,32,41,41,41,41
"208",39.94,40.4400559105431,32,41,41,41,41
"209",40.65,40.3722843450479,27,41,41,41,41
"210",40.7,40.5069089456869,32,41,41,41,41
"211",40.7,40.4901357827476,32,41,41,41,41
"212",39.59,40.4950479233227,32,41,41,41,41
"213",40.7,40.4992811501597,32,41,41,41,41
"214",40.21,40.4860223642173,27,41,41,41,41
"215",40.66,40.4281549520767,27,41,41,41,41
"216",40.24,40.395607028754,27,41,41,41,41
"217",30.43,40.4631389776358,27,41,41,41,41
"218",40.58,40.4635383386581,27,41,41,41,41
"219",40.14,40.4644968051118,27,41,41,41,41
"220",40.7,40.4481230031949,27,41,41,41,41
"221",40.7,40.4468450479233,27,41,41,41,41
"222",40.29,40.3859424920128,27,41,41,41,41
"223",40.58,40.368250798722,27,41,41,41,41
"224",40.53,40.3275559105431,27,41,41,41,41
"225",40.58,40.3605431309904,27,41,41,41,41
"226",40.66,40.4117012779553,27,41,41,41,41
"227",40.62,40.3906948881789,27,41,41,41,41
"228",40.31,40.3204073482428,22,41,41,41,41
"229",40.7,40.3420926517572,22,41,41,41,41
"230",40.54,40.3099440894569,22,41,41,41,41
"231",40.66,40.2799920127796,22,41,41,41,41
"232",31.8,40.3089057507987,22,41,41,41,41
"233",40.66,40.3916932907348,27,41,41,41,41
"234",40.58,40.3528354632588,27,41,41,41,41
"235",40.49,40.3799121405751,27,41,41,41,41
"236",40.5,40.3990015974441,27,41,41,41,41
"237",40.46,40.4053363157054,27,41,41,41,41
"238",39.79,40.4327368589231,27,41,41,41,41
"239",36.62,40.389696485623,27,41,41,41,41
"240",40.58,40.2516775842786,22,41,41,41,41
"241",40.7,40.3059504792332,27,41,41,41,41
"242",40.52,40.3015575079872,22,41,41,41,41
"243",40.54,40.3447284345048,27,41,41,41,41
"244",40.7,40.2842651757189,22,41,41,41,41
"245",40.5,40.2977635782748,22,41,41,41,41
"246",40.62,40.2476837060703,22,41,41,41,41
"247",40.7,40.2776757188498,22,41,41,41,41
"248",40.7,40.3194089456869,22,41,41,41,41
"249",40.36,40.2964131650423,22,41,41,41,41
"250",40.09,40.2869068541301,22,41,41,41,41
"251",40.7,40.2500798722045,22,41,41,41,41
"252",40.62,40.2705445247893,22,41,41,41,41
"253",40.62,40.2721824937078,22,41,41,41,41
"254",40.49,40.2572284345048,22,41,41,41,41
"255",40.66,40.2422911008148,22,41,41,41,41
"256",39.82,40.2558316024924,22,41,41,41,41
"257",34.84,40.2416932907348,22,41,41,41,41
"258",39.39,40.165002396549,22,41,41,41,41
"259",40.7,40.2357005911487,22,41,41,41,41
